2020-08-06 22:34:25 status half-installed dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:25 status half-installed dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:25 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:25 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:25 install e2fsprogs:i386 <none> 1.44.1-1
2020-08-06 22:34:25 status half-installed e2fsprogs:i386 1.44.1-1
2020-08-06 22:34:25 status unpacked e2fsprogs:i386 1.44.1-1
2020-08-06 22:34:25 status unpacked e2fsprogs:i386 1.44.1-1
2020-08-06 22:34:25 install fdisk:i386 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 status half-installed fdisk:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 status unpacked fdisk:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 status unpacked fdisk:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 install findutils:i386 <none> 4.6.0+git+20170828-2
2020-08-06 22:34:25 status half-installed findutils:i386 4.6.0+git+20170828-2
2020-08-06 22:34:25 status unpacked findutils:i386 4.6.0+git+20170828-2
2020-08-06 22:34:25 status unpacked findutils:i386 4.6.0+git+20170828-2
2020-08-06 22:34:25 install gcc-8-base:i386 <none> 8-20180414-1ubuntu2
2020-08-06 22:34:25 status half-installed gcc-8-base:i386 8-20180414-1ubuntu2
2020-08-06 22:34:25 status unpacked gcc-8-base:i386 8-20180414-1ubuntu2
2020-08-06 22:34:25 status unpacked gcc-8-base:i386 8-20180414-1ubuntu2
2020-08-06 22:34:25 install grep:i386 <none> 3.1-2
2020-08-06 22:34:25 status half-installed grep:i386 3.1-2
2020-08-06 22:34:25 status unpacked grep:i386 3.1-2
2020-08-06 22:34:25 status unpacked grep:i386 3.1-2
2020-08-06 22:34:25 install gzip:i386 <none> 1.6-5ubuntu1
2020-08-06 22:34:25 status half-installed gzip:i386 1.6-5ubuntu1
2020-08-06 22:34:25 status unpacked gzip:i386 1.6-5ubuntu1
2020-08-06 22:34:25 status unpacked gzip:i386 1.6-5ubuntu1
2020-08-06 22:34:25 install hostname:i386 <none> 3.20
2020-08-06 22:34:25 status half-installed hostname:i386 3.20
2020-08-06 22:34:25 status unpacked hostname:i386 3.20
2020-08-06 22:34:25 status unpacked hostname:i386 3.20
2020-08-06 22:34:25 install init-system-helpers:all <none> 1.51
2020-08-06 22:34:25 status half-installed init-system-helpers:all 1.51
2020-08-06 22:34:25 status unpacked init-system-helpers:all 1.51
2020-08-06 22:34:25 status unpacked init-system-helpers:all 1.51
2020-08-06 22:34:25 install libacl1:i386 <none> 2.2.52-3build1
2020-08-06 22:34:25 status half-installed libacl1:i386 2.2.52-3build1
2020-08-06 22:34:25 status unpacked libacl1:i386 2.2.52-3build1
2020-08-06 22:34:25 status unpacked libacl1:i386 2.2.52-3build1
2020-08-06 22:34:25 install libattr1:i386 <none> 1:2.4.47-2build1
2020-08-06 22:34:25 status half-installed libattr1:i386 1:2.4.47-2build1
2020-08-06 22:34:25 status unpacked libattr1:i386 1:2.4.47-2build1
2020-08-06 22:34:25 status unpacked libattr1:i386 1:2.4.47-2build1
2020-08-06 22:34:25 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 install libaudit1:i386 <none> 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 status half-installed libaudit1:i386 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 status unpacked libaudit1:i386 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 status unpacked libaudit1:i386 1:2.8.2-1ubuntu1
2020-08-06 22:34:25 install libblkid1:i386 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 status half-installed libblkid1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 status unpacked libblkid1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 status unpacked libblkid1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:25 install libbz2-1.0:i386 <none> 1.0.6-8.1
2020-08-06 22:34:25 status half-installed libbz2-1.0:i386 1.0.6-8.1
2020-08-06 22:34:25 status unpacked libbz2-1.0:i386 1.0.6-8.1
2020-08-06 22:34:25 status unpacked libbz2-1.0:i386 1.0.6-8.1
2020-08-06 22:34:25 install libc-bin:i386 <none> 2.27-3ubuntu1
2020-08-06 22:34:25 status half-installed libc-bin:i386 2.27-3ubuntu1
2020-08-06 22:34:25 status unpacked libc-bin:i386 2.27-3ubuntu1
2020-08-06 22:34:25 status unpacked libc-bin:i386 2.27-3ubuntu1
2020-08-06 22:34:25 upgrade libc6:i386 2.27-3ubuntu1 2.27-3ubuntu1
2020-08-06 22:34:25 status half-configured libc6:i386 2.27-3ubuntu1
2020-08-06 22:34:25 status unpacked libc6:i386 2.27-3ubuntu1
2020-08-06 22:34:25 status half-installed libc6:i386 2.27-3ubuntu1
2020-08-06 22:34:26 status half-installed libc6:i386 2.27-3ubuntu1
2020-08-06 22:34:26 status unpacked libc6:i386 2.27-3ubuntu1
2020-08-06 22:34:26 status unpacked libc6:i386 2.27-3ubuntu1
2020-08-06 22:34:26 install libcap-ng0:i386 <none> 0.7.7-3.1
2020-08-06 22:34:26 status half-installed libcap-ng0:i386 0.7.7-3.1
2020-08-06 22:34:26 status unpacked libcap-ng0:i386 0.7.7-3.1
2020-08-06 22:34:26 status unpacked libcap-ng0:i386 0.7.7-3.1
2020-08-06 22:34:26 install libcom-err2:i386 <none> 1.44.1-1
2020-08-06 22:34:26 status half-installed libcom-err2:i386 1.44.1-1
2020-08-06 22:34:26 status unpacked libcom-err2:i386 1.44.1-1
2020-08-06 22:34:26 status unpacked libcom-err2:i386 1.44.1-1
2020-08-06 22:34:26 install libdb5.3:i386 <none> 5.3.28-13.1ubuntu1
2020-08-06 22:34:26 status half-installed libdb5.3:i386 5.3.28-13.1ubuntu1
2020-08-06 22:34:26 status unpacked libdb5.3:i386 5.3.28-13.1ubuntu1
2020-08-06 22:34:26 status unpacked libdb5.3:i386 5.3.28-13.1ubuntu1
2020-08-06 22:34:26 install libdebconfclient0:i386 <none> 0.213ubuntu1
2020-08-06 22:34:26 status half-installed libdebconfclient0:i386 0.213ubuntu1
2020-08-06 22:34:26 status unpacked libdebconfclient0:i386 0.213ubuntu1
2020-08-06 22:34:26 status unpacked libdebconfclient0:i386 0.213ubuntu1
2020-08-06 22:34:26 install libext2fs2:i386 <none> 1.44.1-1
2020-08-06 22:34:26 status half-installed libext2fs2:i386 1.44.1-1
2020-08-06 22:34:26 status unpacked libext2fs2:i386 1.44.1-1
2020-08-06 22:34:26 status unpacked libext2fs2:i386 1.44.1-1
2020-08-06 22:34:26 install libfdisk1:i386 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:34:26 status half-installed libfdisk1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status unpacked libfdisk1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status unpacked libfdisk1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 install libgcc1:i386 <none> 1:8-20180414-1ubuntu2
2020-08-06 22:34:27 status half-installed libgcc1:i386 1:8-20180414-1ubuntu2
2020-08-06 22:34:27 status unpacked libgcc1:i386 1:8-20180414-1ubuntu2
2020-08-06 22:34:27 status unpacked libgcc1:i386 1:8-20180414-1ubuntu2
2020-08-06 22:34:27 install libgcrypt20:i386 <none> 1.8.1-4ubuntu1
2020-08-06 22:34:27 status half-installed libgcrypt20:i386 1.8.1-4ubuntu1
2020-08-06 22:34:27 status unpacked libgcrypt20:i386 1.8.1-4ubuntu1
2020-08-06 22:34:27 status unpacked libgcrypt20:i386 1.8.1-4ubuntu1
2020-08-06 22:34:27 install libgpg-error0:i386 <none> 1.27-6
2020-08-06 22:34:27 status half-installed libgpg-error0:i386 1.27-6
2020-08-06 22:34:27 status unpacked libgpg-error0:i386 1.27-6
2020-08-06 22:34:27 status unpacked libgpg-error0:i386 1.27-6
2020-08-06 22:34:27 install liblz4-1:i386 <none> 0.0~r131-2ubuntu3
2020-08-06 22:34:27 status half-installed liblz4-1:i386 0.0~r131-2ubuntu3
2020-08-06 22:34:27 status unpacked liblz4-1:i386 0.0~r131-2ubuntu3
2020-08-06 22:34:27 status unpacked liblz4-1:i386 0.0~r131-2ubuntu3
2020-08-06 22:34:27 install liblzma5:i386 <none> 5.2.2-1.3
2020-08-06 22:34:27 status half-installed liblzma5:i386 5.2.2-1.3
2020-08-06 22:34:27 status unpacked liblzma5:i386 5.2.2-1.3
2020-08-06 22:34:27 status unpacked liblzma5:i386 5.2.2-1.3
2020-08-06 22:34:27 install libmount1:i386 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status half-installed libmount1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status unpacked libmount1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status unpacked libmount1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 install libncurses5:i386 <none> 6.1-1ubuntu1
2020-08-06 22:34:27 status half-installed libncurses5:i386 6.1-1ubuntu1
2020-08-06 22:34:27 status unpacked libncurses5:i386 6.1-1ubuntu1
2020-08-06 22:34:27 status unpacked libncurses5:i386 6.1-1ubuntu1
2020-08-06 22:34:27 install libncursesw5:i386 <none> 6.1-1ubuntu1
2020-08-06 22:34:27 status half-installed libncursesw5:i386 6.1-1ubuntu1
2020-08-06 22:34:27 status unpacked libncursesw5:i386 6.1-1ubuntu1
2020-08-06 22:34:27 status unpacked libncursesw5:i386 6.1-1ubuntu1
2020-08-06 22:34:27 install libpam-modules:i386 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status half-installed libpam-modules:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status unpacked libpam-modules:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status unpacked libpam-modules:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 install libpam-modules-bin:i386 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status half-installed libpam-modules-bin:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status unpacked libpam-modules-bin:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status unpacked libpam-modules-bin:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
